institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments
University of the Fraser Valley,01-09-2018,Bachelor of Arts in Criminal Justice,4," $23,765.00 ", Attending ,
Camosun College,17-09-2018,Professional Cook Level 1,1,, Hiatus , Last attended 04/19 
Douglas College,03-09-2019,Bachelor of Business Administration Management,," $1,984.77 ",,
Langara College,01-09-2018,Associate of Arts Psychology,,, Hiatus ,
Okanagan College,06-01-2020,Construction Trades Apprentice, 1 month ," $1,005.00 ", Completed  ,
Vancouver Island University,26-02-2019,Hairstylist Foundtion Certificate,1," $7,000.00 ", Hiatus , Withdrew Mar 2019 
Douglas College,08-09-2019,Criminology Diploma,2," $12,000.00 ", Hiatus ,
Douglas College,07-09-2021,Associate of Arts,2," $11,282.00 ",,
BCIT,26-11-2018,Welder Foundation,,, Completed  ,
Camosun College,03-09-2019,Practical Nursing,2,, Completed  ,
Thompson Rivers University,04-09-2018,Horticulture,1," $6,147.59 ", Completed  ,
BCIT,09-01-2023,Nursing Degree,3," $24,039.00 ",, Transfer from Vancouver Community College 
Langara College,01-01-2019,Associate of Arts,,, Hiatus ,
North Island College,01-01-2018,Heavy Duty Equipment,,, Never Attended ,
Douglas College,15-03-2021,Veterinary Office Animal Care Certificate,1," $6,953.00 ",,
Douglas College,10-05-2021,Academic Upgrading,1, $120.28 ,,
North Island College,,Social Services,,, Completed  ,
University of Victoria,,Social Sciences Diploma,,, Attending ,
Camosun College,04-09-2018,Electronics & Computer Engineering,1,, Hiatus , Last attended 12/18 
Douglas College,01-09-2018,Arts/CRWR Associate,2," $12,000.00 ", Hiatus ,
Thompson Rivers University,,Undeclared,,,,
Emily Carr University of Art & Design,01-09-2018,Bachelor of Fine Arts-Visual Arts, 4 ," $21,000.00 ", Attending ,
Douglas College,06-01-2020,Criminology Degree,2," $1,734.77 ",,
Douglas College,01-09-2018,Youth Justice Worker,2," $12,000.00 ", Hiatus ,
Okanagan College,01-09-2018,Associate of Arts,2," $8,934.00 ", Attending ,
College of New Caledonia,07-01-2019,Criminology,,, Hiatus ,
Douglas College,04-01-2021,Associate of Arts,2," $7,775.00 ",,
Douglas College,01-09-2018,,,,,
University of the Fraser Valley,,Bachelor of Arts in Child and Youth Care,4," $23,765.00 ", Attending ,
Vancouver Island University,21-01-2019,Heavy Equipment Operator Certificate,1," $17,000.00 ", Completed  ,
Justice Insitute of British Columbia,01-10-2018,"Bylaw, Compliance, Enforcement and Investigation", 1 ," $1,344.00 ", Never Attended , Student has not enrolled at this point in time 
Okanagan College,11-05-2020,Bachelor of Business Administration ,2," $11,939.12 ", Attending ,
Nicola Valley Institute of Technology,02-01-2019,,,, Never Attended ,
Vancouver Community College,01-01-2019,ABE,,, Never Attended ,
University of Victoria,01-09-2018,Fine Arts,,, Attending ,
Vancouver Island University,21-01-2019,Heavy Equipment Operator Certificate,1," $10,000.00 ", Never Attended ,
Camosun College,10-01-2019,Medical Office Assistant,1,, Hiatus ,
Douglas College,01-01-2022,Stage Craft and Event Technology Diploma,2," $13,377.00 ",,
Justice Insitute of British Columbia,24-10-2019,"Bylaw, Compliance, Enforcement and Investigation",1," $1,344.00 ", Never Attended ,
University of the Fraser Valley,01-01-2019,Qualifying Studies,1," $8,005.00 ", Attending ,
Kwantlen Polytechnic University,01-01-2019,Science & Horticulture,4," $25,000.00 ", Attending ,
Douglas College,,Continuing Ed - Music,,, Hiatus ,
Thompson Rivers University,31-01-2019,Bachelor of Arts,4," $24,100.00 ", Hiatus ,
North Island College,01-01-2019,Health Care Assistant,,, Completed  ,
Douglas College,08-09-2019,General Studies Diploma,2," $12,000.00 ", Attending ,
Kwantlen Polytechnic University,01-01-2019,Arts Pathway,4," $23,500.00 ", Hiatus ,
University of the Fraser Valley,01-01-2019,Bachelor of Arts,4," $23,765.00 ", Hiatus ,
Douglas College,,,,,,
Thompson Rivers University,01-09-2018,Medical Lab Assistant,1," $6,720.00 ", Hiatus ,
Okanagan College,01-02-2019,Auto Service Technician ,1,, Completed  ,
University of the Fraser Valley,01-01-2019,Qualifying Studies,," $8,005.00 ", Attending ,
Okanagan College,01-09-2018,Business Admin Diploma,2,, Hiatus , Last attended Fall 2018 
Douglas College,,,,,,
Simon Fraser University,04-09-2018,Bachelor of General Studies Education, 4 ," $25,664.00 ", Attending ,
Northern Lights College,04-09-2018,Applied Business Technology,,, Hiatus , No show/Fail 
North Island College,01-01-2019,,4,,,
Douglas College,04-09-2018,,,,,
University of British Columbia Okanagan,05-09-2017,Bachelor of Arts, 4 ," $27,000.00 ", Hiatus ,
Justice Insitute of British Columbia,01-02-2021,"EMR, Primary Care Paramedic",2," $6,692.83 ", Attending ,
University of the Fraser Valley,01-09-2019,Qualifying Studies,," $8,005.00 ", Attending ,
University of Victoria,01-01-2019,Social Sciences Diploma,,, Hiatus ,
Thompson Rivers University,05-09-2018,Bachelor of Arts in History,4," $24,000.00 ", Attending ,
Douglas College,06-01-2020,Child and Youth Care,," $2,740.22 ",,
Okanagan College,07-09-2022,Business Administration, 2 ," $11,408.00 ", Attending ,
BCIT,05-01-2019,Human Resource Mgmt Certificate,1," $7,500.00 ", Attending ,
Capilano University,,Associate of Arts in Psychology,,,,
Simon Fraser University,,Bachelor of Science,4,, Hiatus , Last attended Spring '19. 
University of British Columbia,05-09-2018,Bachelor of Arts ,4," $22,000.00 ", Attending ,
BCIT,21-01-2018,Welder Foundation,,, Completed  ,
Nicola Valley Institute of Technology,,Associate of Arts in Criminology,,, Hiatus ,
Douglas College,,,,,,
Thompson Rivers University,01-01-2019,Bachelor of Arts,1," $7,152.02 ", Attending ,
Douglas College,01-01-2022,General Studies,2," $12,000.00 ",,
Douglas College,01-09-2018,,,,,
BCIT,,Science and Horticulture,,, Never Attended ,
Douglas College,04-09-2018,,,,,
Camosun College,,Horticulture Technician,,, Hiatus ,
Kwantlen Polytechnic University,01-05-2019,Science & Horticulture,4," $35,000.00 ", Attending ,
Douglas College,01-01-2019,Health Care Assistant,1," $3,500.00 ", Hiatus ,
Okanagan College,09-09-2020,ABE Fundamental Certificate,,, Hiatus , Currently upgrading 
BCIT,01-09-2019,Digital Design and Development,2," $17,750.00 ", Hiatus , Terminated from program 
Langara College,01-09-2018,Continued Studies: Acting,,, Hiatus ,
Douglas College,01-09-2018,,,,,
Douglas College,01-01-2019,General Studies,2," $12,000.00 ", Hiatus ,
Vancouver Community College,01-01-2019,Skin & Body Therapy (Esthetics),1," $13,500.00 ", Completed  ,
Douglas College,01-01-2019,Health Care Support,1,, Completed  ,
Vancouver Island University,01-01-2019,,,, Never Attended , No student record at VIU. 
Camosun College,10-01-2019,Education Assistant & Community Support,1,, Never Attended , Dropped Fall '19 courses. Not enrolled. 
Douglas College,01-09-2019,General Studies,2," $18,000.00 ", Hiatus ,
Simon Fraser University,01-01-2019,Creative Writing-Continuing Studies,,,, SFU Continuing Studies 
Selkirk College,01-01-2019,"Carpentry, Forklift, Occupational First Aid",,, Completed  ,
Camosun College,28-09-2020,Carpentry Foundation ,1,, Attending ," 2nd program, stdt previously funded for automotive program "
Douglas College,02-01-2019,Office Administration Certificate,1," $6,000.00 ", Hiatus ,
Douglas College,01-10-2018,Theatre Diploma,2," $12,000.00 ", Completed  ,
Thompson Rivers University,01-01-2019,Computing Science Diploma,2," $21,803.40 ", Hiatus ,
Douglas College,02-01-2019,General Studeis Diploma,2," $12,000.00 ", Hiatus ,
Douglas College,01-01-2019,Bachelor of Business Administration,4," $24,000.00 ", Hiatus ,
BCIT,,Science and Horticulture,,, Never Attended ,
Kwantlen Polytechnic University,03-01-2019,Health Science,4," $35,000.00 ", Hiatus ,
BCIT,01-01-2019,Financial Management Certificate,1," $8,795.00 ", Hiatus ,
Coast Mountain College,04-09-2019,Early Childhood Care & Education Certificate, 2 ," $12,426.00 ", Never Attended ,
College of the Rockies,12-02-2019,Engineering,4,, Hiatus ,
Vancouver Island University,01-02-2019,,,, Never Attended ,
University of the Fraser Valley,13-05-2018,Bookkeeping,,, Completed  ,
Kwantlen Polytechnic University,01-01-2020,Business,4," $23,500.00 ", Hiatus ,
University of the Fraser Valley,13-09-2021,Paralegal Certificate,3," $15,660.00 ", Attending , Legal Admini Cert completed 
Douglas College,01-01-2019,General Studies,2," $12,000.00 ", Hiatus ,
Vancouver Community College,05-01-2022,Nail Tech,1," $5,418.00 ",,
Langara College,01-01-2019,Associate of Arts,,,,
Vancouver Community College,,Heavy Duty Mechanics/Basic Counselling Skills,1, $750.00 , Hiatus , Withdrew 
Langara College,06-09-2022,Diploma: General Education (Arts),2," $12,016.00 ",, Transferred from UVIC 
University of British Columbia,08-09-2020,Bachelor of Arts,4," $27,000.00 ", Attending ,
Capilano University,04-05-2019,Associate of Science in Biology,2," $11,328.24 ", Hiatus ,
Langara College,02-01-2019,Diploma: Arts & Science,,, Hiatus ,
BCIT,01-10-2022,Carpentry Apprentice Level 1, 1 ," $1,157.00 ",, Transfer from Langara 
Okanagan College,01-01-2020,Associate of Arts,2," $8,934.00 ", Hiatus ,
BCIT,01-01-2019,Computer Information Tech Degree,2," $15,358.00 ", Attending ,
Langara College,01-05-2019,Bachelor of Business Administration: Marketing Management,4," $24,397.00 ", Attending ,
Justice Insitute of British Columbia,01-01-2019,Substance Use Certificate, 3 ,, Hiatus ,
Thompson Rivers University,04-08-2020,Bachelor of Arts,4," $24,100.00 ", Hiatus ,
University of the Fraser Valley,01-09-2019,Bachelor of Arts,,, Never Attended , Registered & Withdrew 
College of New Caledonia,,Social Service Worker,,, Hiatus ,
University of Northen BC,,Bachelor of Social Work,4," $24,565.00 ", Never Attended ,
Camosun College,08-09-2020,University Transfer,2,, Attending ,
BCIT,07-01-2019,Automotive Technician Apprentice,4 level -1/yr," $2,500.00 ",, student doing work hours between levels 
Justice Insitute of British Columbia,27-04-2020,Bylayw Certificate,1," $1,345.00 ",,
Nicola Valley Institute of Technology,01-01-2018,Chemical Addiction Worker Certificate,1,, Hiatus ," Last attended date: Dec 21, 2019 "
University of the Fraser Valley,01-01-2019,,,, Never Attended ,
University of the Fraser Valley,07-01-2019,Qualifying Studies,," $8,005.00 ", Hiatus ,
Simon Fraser University,08-01-2019,Occupational Health & Safety Certificate ,,,, N/A 
BCIT,01-01-2019,Interior Design Certificate,1," $7,200.00 ", Attending ,
Langara College,01-05-2019,Applied Science for Engineers Diploma,,, Hiatus ,
Justice Insitute of British Columbia,06-06-2020,Firefighter Technologies Certificate ,1," $11,966.00 ",,
BCIT,,Electrical Foundations,,, Never Attended ,
Kwantlen Polytechnic University,01-02-2019,Electrical Apprenticship,2," $10,000.00 ", Hiatus ,
North Island College,03-01-2018,University Studies,,, Attending ,
Douglas College,01-01-2019,Academic Upgrading,,,,
BCIT,09-05-2022,Carpentry Framing & Forming Foundation Certificate,1," $4,104.00 ", Hiatus ,
Vancouver Island University,26-02-2019,Automotive Apprenticeship,1," $3,500.00 ", Attending ,
Camosun College,07-01-2019,University Transfer,2,, Hiatus , Last attended 04/19 
University of the Fraser Valley,01-09-2019,,,, Never Attended ,
Vancouver Island University,04-01-2017,Bachelor of Science in Nursing,4," $25,000.00 ", Hiatus ,
Douglas College,01-01-2021,CE-Breastfeeding,1," $1,100.00 ", Completed  ,
Douglas College,01-01-2019,General Studies,2," $12,000.00 ", Hiatus ,
University of Victoria,01-01-2019,Bachelor of Science,,, Attending ,
Thompson Rivers University,01-01-2019,Bachelor of Arts,4," $24,100.00 ", Attending ,
Coast Mountain College,08-01-2018,Business Administration Diploma, 2 ," $11,051.36 ", Hiatus ,
Camosun College,04-09-2018,Visual Arts,2,, Attending ,
Justice Insitute of British Columbia,06-07-2020,Emergency Medical Response Paramedic,1," $1,717.83 ", Hiatus ,
Thompson Rivers University,01-01-2019,Bachelor of Science,4," $23,648.00 ", Attending ,
Okanagan College,11-01-2019,Landscape Horticulture,,, Hiatus , Did not complete 
Justice Institute of British Columbia,06-09-2019,Bachelor in Emergency and Security Management,4," $101,482.00 ",,
Douglas College,01-01-2019,Criminology Diploma,2," $12,000.00 ", Hiatus ,
Camosun College,03-09-2019,College Preparatory,,, Hiatus , Last attended 04/19 
Vancouver Island University,01-09-2021,Bachelor of Arts,4," $25,000.00 ", Hiatus ,
Vancouver Island University,03-09-2019,Bachelor in Child & Youth Care,4," $25,000.00 ", Hiatus ,
Douglas College,01-09-2020,Associate Degree in Science,2," $12,000.00 ", Hiatus ,
Vancouver Community College,07-01-2019,Autotech Foundations,,, Completed  ,
Kwantlen Polytechnic University,01-01-2019,BA Arts,4," $33,240.00 ", Hiatus ,
BCIT,,Electrical Level 2,,, Never Attended ,
Kwantlen Polytechnic University,01-01-2019,Electrical Levl 2,1," $6,000.00 ", Completed  , Electrical Foundation credential completed 
Thompson Rivers University,07-01-2019,Bachelor of Computing Science,4," $24,100.00 ", Hiatus ,
BCIT,,Fine Arts,,, Never Attended ,
Kwantlen Polytechnic University,01-05-2019,Arts,4," $23,500.00 ", Hiatus ,
BCIT,,,,, Never Attended ,
Vancouver Island University,03-09-2019,Hairstylist Foundations,1," $6,421.16 ", Completed  ,
Kwantlen Polytechnic University,05-01-2022,Bachelor of Arts, 4 ," $33,348.00 ",,
Camosun College,08-01-2018,Associate Degree Science,2,, Hiatus , Last attended 04/19 
Kwantlen Polytechnic University,01-01-2022,Bachelor of Arts,4," $33,000.00 ",,
Vancouver Island University,03-09-2019,Estethics,1," $13,500.00 ", Hiatus , Withdrew Oct 2019 
Okanagan College,01-01-2022,ASsociate of Arts,2," $9,597.08 ", Attending ,
College of the Rockies,03-09-2019,,,, Never Attended ,
Okanagan College,03-01-2018,Practical Nursing,2," $12,284.99 ", Attending ,
Okanagan College,03-01-2019,Adult Upgrading,,, Hiatus ,  Last attended Winter 2019 (App fee billed only) 
College of the Rockies,03-09-2019,,,, Hiatus ,
Kwantlen Polytechnic University,10-05-2021,Health Foundation Certificate, 1 ," $8,310.00 ",,
Kwantlen Polytechnic University,05-01-2021,Bachelor of Business Administration,4," $25,000.00 ",,
Kwantlen Polytechnic University,10-05-2021,Bachelor of Arts,4," $33,240.00 ",,
Vancouver Island University,01-09-2019,,,, Never Attended ,
Kwantlen Polytechnic University,05-01-2022,Bachelor of Arts,4," $33,348.00 ",,
Kwantlen Polytechnic University,05-01-2022,Bachelor of Business Administration,4," $33,348.00 ",,
Vancouver Island University,05-09-2017,Bachelor of Arts,4," $25,000.00 ", Attending ,
Thompson Rivers University,08-08-2019,Driver Training,1," $7,500.00 ", Completed  ,
Vancouver Island University,03-09-2019,Social Services Diploma,2," $11,000.00 ", Completed  , May return in future to continue onto Bachelor of Social Work 
Thompson Rivers University,07-01-2019,Bachelor of Arts,4," $24,000.00 ", Attending ,
University of the Fraser Valley,01-05-2019,,,, Never Attended ,
Camosun College,05-09-2017,University Transfer,2,, Hiatus ,
Camosun College,06-01-2020,College Prep,,, Attending ,
Thompson Rivers University,01-09-2022,Bachelor of Science,2," $11,700.00 ",, Transfer from Douglas College 
University of Victoria,,Bachelor of Science,,,,
Capilano University,07-01-2019,"Art and Sciences, psychology",2," $10,786.16 ", Hiatus ,
Kwantlen Polytechnic University,01-09-2021,Bachelor of Arts,4," $33,348.00 ", Attending ,
Langara College,01-01-2022,Fine Arts Diploma,2," $9,193.00 ",,
Okanagan College,01-01-2019,Automotive Tech Services,1,, Completed  ,
University of Victoria,01-01-2019,,,, Never Attended ,
Thompson Rivers University,07-01-2019,Bachelor of Science,4," $24,000.00 ", Hiatus ,
Okanagan College,01-09-2019,Associate of Arts,2," $8,934.00 ", Hiatus , Last attended Aug '20 
University of British Columbia Okanagan,08-09-2020,Bachelor of Arts, 4 ," $27,000.00 ", Attending ,
BCIT,01-09-2019,Forest and Natural Areas Management,2," $14,000.00 ", Completed  ,
University of Victoria,,Bachelor of Arts,,, Attending ,
Capilano University,10-04-2019,General Arts Diploma,2," $13,460.02 ", Hiatus ,
Selkirk College,04-09-2019,Hair Stylist, 1 ," $4,569.06 ", Completed  ,
Thompson Rivers University,01-09-2018,Bachelor of Social Work,4," $24,100.00 ", Hiatus ,
University of British Columbia Okanagan,,Bachelor of Social Work,,, Completed  ,
Vancouver Island University,05-09-2017,Electrician Apprentice,1," $3,500.00 ", Hiatus , Level 4 start F22 
Langara College,01-05-2019,CS: 3D Animation,2," $50,400.00 ", Completed  , Graduated April 2021 
University of Victoria,,Bacheor of Engineering,,, Attending ,
Vancouver Island University,,,,, Never Attended ,
Emily Carr University of Art & Design,,CS Visual Arts Certificate,,, Hiatus ,
Langara College,06-05-2019,CS: 2D Animation,1.3," $28,860.00 ", Completed  , student has graduated from the 2D Animation program 
Camosun College,10-05-2019,Arts and Science Studies,2,, Hiatus , Last attended 06/19 
Okanagan College,01-09-2019,Human Service Work,2," $7,737.00 ", Completed  ,
Vancouver Island University,03-09-2019,Motorcycle and Marine Technician,1," $5,500.00 ", Never Attended ,
College of the Rockies,03-09-2019,Human Service Worker,,, Hiatus ,
Okanagan College,01-09-2019,Associate of Arts,2," $8,934.00 ", Hiatus ,
Vancouver Island University,03-09-2019,Bachelor of Arts,4," $25,000.00 ", Never Attended ,
Vancouver Community College,08-02-2021,Asian Culinary Program ,1," $4,500.00 ", Completed  , Professional Cook 2 & Asian Culinary completed 
College of the Rockies,03-09-2019,Early Childhood Education , 1 ,, Hiatus ,
Emily Carr University of Art & Design,01-05-2019,Continuing Studies Certificate, 1 ,, Hiatus , Student appears to have abandoned program.  Is no longer attending 
Thompson Rivers University,01-09-2019,Health Care Assistant, 1 ," $4,410.56 ", Completed  ,
Kwantlen Polytechnic University,01-05-2019,Arts,4," $23,500.00 ", Attending ,
College of New Caledonia,03-09-2019,,,, Never Attended ,
Kwantlen Polytechnic University,01-05-2019,Upgrading & University Transfer,4," $33,240.00 ", Hiatus , student attended Upgrading in 2019 and has not taken any undergrad courses 
BCIT,01-09-2019,Automotive Refinishing Technician Foundation,1," $8,162.00 ", Completed  ,
Vancouver Island University,03-09-2019,Bachelor of Arts / Social Services Diploma,2," $30,000.00 ", Completed  , Completed Social Services Diploma. WDR F21; on LOA F21 and S22 
Vancouver Island University,06-09-2016,Hairstylist Foundation/Apprenticeship,1," $7,000.00 ", Completed  ,
Vancouver Island University,01-01-2018,,,,, We have no record of PTWP approval for this student 
Vancouver Island University,07-09-2021,Education Assistant and Community Support,1," $5,500.00 ", Attending ,
Vancouver Community College,03-03-2019,Basic Counselling Skills,1," $1,500.00 ", Completed  ,
Kwantlen Polytechnic University,09-09-2022,Horticulture Science,4," $33,348.00 ",,
BCIT,01-03-2019,Ironworker-Reinforcing,4 level -1/yr," $2,500.00 ", Completed  , withdrew level 2 
Nicola Valley Institute of Technology,01-03-2019,Welding,,, Completed  ,
Vancouver Island University,07-09-2021,Bachelor of Interior Design,4," $25,000.00 ", Attending ,
Capilano University,,Arts & Science,,, Hiatus ,
Douglas College,01-01-2019,Bachelor of Social Work,4," $24,000.00 ", Attending ,
University of the Fraser Valley,01-01-2019,Bachelor of Social Work,4," $22,430.00 ", Attending ,
Camosun College,04-09-2018,Bachelor of Business Administration ,4,, Hiatus , Last attended 04/20 
University of British Columbia,02-09-2019,Bachelor of Arts, 4 ," $14,000.00 ", Attending ,
Okanagan College,,Office Assistant Certificate,,, Never Attended ,
University of British Columbia,01-01-2019,Bachelor of Arts,4," $27,000.00 ", Attending ,
BCIT,01-09-2019,,,, Never Attended , applied for waiver through BCIT but never applied to BCIT 
Royal Roads University,30-08-2021,Bachelor of Justice,2," $10,083.86 ", Attending , Financial Information is for the full year 2021-22 
College of the Rockies,03-09-2019,Office Administration,,, Hiatus ,
Vancouver Island University,03-09-2019,Carpentry,1," $5,000.00 ", Never Attended ,
Camosun College,04-09-2018,Criminal Justice,2,, Never Attended , No show for Fall '18 
Justice Insitute of British Columbia,01-05-2019,Bylaw Level 2,,,,
University of British Columbia,01-09-2018,Bachelor of Science, 4 ," $10,795.00 ", Completed  ,
University of British Columbia,01-05-2019,Bachelor of Arts,4," $14,000.00 ", Attending ,
Vancouver Island University,23-04-2019,,,,, We have no record of PTWP approval for this student 
Kwantlen Polytechnic University,06-05-2016,Arts,4," $23,500.00 ", Hiatus ,
Justice Insitute of British Columbia,01-05-2019,Bylaw Enforcement,,, Completed  ,
Camosun College,03-09-2019,Associate of Arts Degree,,, Hiatus , Last attended 06/20 
University of Victoria,01-09-2020,Bachelor of Arts,4," $26,668.00 ", Attending ,
Vancouver Island University,04-09-2018,Bachelor of Arts,4," $25,000.00 ", Attending ,
Vancouver Community College,01-01-2019,Fashion Design Year 1,2," $2,700.00 ", Attending ,
Langara College,,Associate of Arts: Psychology,,, Hiatus ,
Vancouver Community College,06-01-2020,University Transfer,1," $2,500.00 ", Attending ,
Kwantlen Polytechnic University,03-09-2019,Millwright,," $3,990.00 ",,
Okanagan College,01-09-2019,Early Childhood Education Diploma,2,,, Unsuccessful 
Simon Fraser University,01-05-2019,Bachelor of Arts,4," $26,160.00 ", Completed  ,
Camosun College,03-04-2019,Welder Foundation,1,, Hiatus , Last attended 08/19 
BCIT,01-05-2019,Marketing Management,1," $7,300.00 ", Attending ,
North Island College,01-09-2019,Early Childhood Education Certificate,,,,
North Island College,09-01-2019,University Studies,4,, Hiatus ,
Kwantlen Polytechnic University,01-09-2018,,,,,
Thompson Rivers University,18-12-2019,"ABE Intermediate, OL",1," $4,404.00 ", Hiatus ,
Kwantlen Polytechnic University,01-05-2019,,,,,
Thompson Rivers University,01-01-2019,Undeclared,4," $24,100.00 ", Never Attended ,
Douglas College,,Psychiatric Nursing,,, Hiatus ,
Kwantlen Polytechnic University,07-09-2021,Bachelor of Arts,4," $33,348.00 ",,
Kwantlen Polytechnic University,07-09-2021,Bachelor of Business Admin,4," $33,348.00 ",,
Simon Fraser University,01-05-2019,Bachelor of Arts,4," $26,160.00 ", Attending ,
Camosun College,03-09-2019,Digital Communications,1,, Hiatus ,
Vancouver Island University,03-09-2019,Bachelor of Business Administration,4," $25,000.00 ", Attending ,
Emily Carr University of Art & Design,01-09-2019,,,, Never Attended ,
Kwantlen Polytechnic University,01-09-2019,Criminology, 1 ," $23,500.00 ", Hiatus ,
Vancouver Island University,08-09-2020,Bachelor of Arts,4," $25,000.00 ", Hiatus , Applied to Hairstylist Foundation S22 
Capilano University,03-09-2019,Art and Science,4," $24,557.32 ", Attending ,
Simon Fraser University,01-09-2019,Professional Development , 2 ,, Completed  ,
Vancouver Island University,01-09-2019,,,, Never Attended , We have no record of PTWP approval for this student 
University of Victoria,01-05-2021,Discovery Studies,,,,
Vancouver Island University,,Adult Basic Education,,, Hiatus , Withdrew Oct 2019 
Langara College,07-09-2021,Associate of Arts, 2 ," $10,662.00 ",,
Langara College,07-09-2021,General Arts Diploma, 2 ," $8,162.00 ",,
Langara College,01-01-2021,Bachelor of Science,4," $18,879.00 ",,
Langara College,01-01-2021,Associate of Science,2," $9,775.00 ",,
Langara College,01-09-2021,Associate of Science,2," $9,775.00 ",,
Langara College,01-01-2021,Associate of Arts,2," $9,335.00 ",,
Langara College,01-01-2021,Associate of Arts,2," $9,335.00 ",,
Langara College,01-01-2021,Bachelor of Science in Nursing,4," $32,650.00 ",,
Thompson Rivers University,01-10-2022,Medical Lab Assistant,2," $5,010.00 ",, Transfer from North Island College 
Langara College,08-09-2020,Associate of Science in Computer Science,2," $9,775.00 ",,
University of Victoria,01-05-2019,Bachelor of Child and Youth Care,,, Attending ,
Langara College,08-09-2020,Associate of Arts in Psychology,2," $9,335.00 ",,
Langara College,03-09-2020,Associate of Science,2," $9,775.00 ",,
College of New Caledonia,03-09-2019,University Transfer,,, Hiatus ,
Vancouver Island University,03-09-2019,Bachelor of Arts, 4 ," $25,000.00 ", Attending ,
North Island College,01-09-2019,Welder Foundation,,, Hiatus ,
BCIT,01-09-2019,Bridge Watch Rating & Nautical Courses,1," $2,600.00 ", Hiatus ,
Douglas College,01-09-2019,Youth Justice Worker Diploma,2," $18,000.00 ", Attending ,
Vancouver Island University,01-08-2019,Heavy Equipment Operator Certificate,," $15,000.00 ", Never Attended ,
BCIT,01-01-2022,Fire Protection Inspection & Testing,1," $24,328.00 ",,
Douglas College,01-09-2018,Criminology Diploma,2," $12,000.00 ", Attending ,
Langara College,01-09-2021,Associate of Science,2," $9,775.00 ",,
Langara College,08-09-2020,Associate of Arts,2," $9,335.00 ",,
Langara College,08-09-2020,Arts and Science Aboriginal Studies Diploma,,,,
Justice Insitute of British Columbia,25-05-2021,Firefighting Academy/NFPA-1001 Certification/First Responder Course PARA-1004/EMR Course,1," $12,297.00 ", Attending ," Application Fee FFTC, Tuition FFTC, Tuition HazMat "
Vancouver Island University,01-09-2019,,,,, We have no record of PTWP approval for this student 
Nicola Valley Institute of Technology,08-09-2020,Environmental Resources Technology Diploma,1," $5,300.00 ", Completed  ," Graduated April 23, 2021 "
Okanagan College,01-05-2019,Adult Upgrading,,, Hiatus , Has not attended since summer 2019 
University of the Fraser Valley,01-09-2020,Veterinary Administrative Assistant,1," $7,400.00 ", Hiatus ,
College of New Caledonia,01-09-2021,Licensed Practical Nursing,,, Hiatus ,
Justice Insitute of British Columbia,01-09-2021,Family Mediation Certificate , 1 ," $10,711.00 ", Attending ,
University of Northen BC,05-05-2019,Occupational Health & Safety Certificate ,2," $4,500.00 ", Completed  , One-time fee paid in 2019 
Langara College,01-09-2021,Associate of Arts,2," $8,162.00 ",,
Langara College,01-09-2021,Bachelor of Busines Administration,4," $18,652.00 ",,
Okanagan College,01-09-2019,Office Assistance Certificate,1,, Completed  ,
Camosun College,04-09-2018,Bachelor of Sports Management,4,, Completed  ,
North Island College,01-09-2019,Early Childhood Care & Learning,,, Never Attended ,
Vancouver Community College,01-05-2019,Esthetics,,, Completed  ,
Camosun College,08-09-2020,"Community, Family & Child Studies",2,, Attending ,
Langara College,07-09-2021,EA Certificate,1," $7,613.00 ",,
Langara College,01-05-2019,Associate of Arts in Commerce & Business Studies,2," $9,395.00 ", Hiatus ,
Langara College,01-09-2021,Accounting Diploma,2," $10,967.00 ",,
Langara College,01-01-2021,Film Arts Acting Certificate,1," $4,826.00 ",,
Langara College,01-09-2021,Associate of Arts,2," $9,523.00 ",,
Kwantlen Polytechnic University,06-05-2019,Health Foundation,1," $11,750.00 ", Hiatus ,
North Island College,,University Studies,,, Attending ,
Langara College,01-05-2021,General Studies Diploma,2," $9,523.00 ",,
Thompson Rivers University,01-09-2018,Bachelor of Business Administration,4," $24,100.00 ", Hiatus ,
University of British Columbia,01-09-2019,Bachelor of Applied Science,4," $28,298.00 ", Attending ,
Langara College,,Associate of Science,,,,
Langara College,08-09-2020,Foundation in Entertainment Arts,,,,
Douglas College,01-09-2019,Youth Justice Worker, 2 ," $12,000.00 ", Hiatus ,
University of British Columbia,05-09-2019,Bachelor of Social Work,4," $11,000.00 ", Hiatus ,
Douglas College,01-09-2021,Therapeutic Recreation Diploma ,2," $12,000.00 ", Attending ,
Thompson Rivers University,01-09-2019,Health Care Assistant,1," $5,820.69 ", Hiatus ,
Langara College,01-05-2019,Associate of Sciences: Science (General),2," $9,335.00 ", Hiatus ,
Douglas College,01-09-2019,Academic Foundations,,, Never Attended ,
Douglas College,01-05-2019,Academic Foundations/Early Childhood Ed,1," $6,000.00 ", Hiatus ,
Camosun College,07-01-2019,Early Learning and Care,2,, Completed  ,
Douglas College,01-09-2019,Bachelor of Arts Child and Youth Care,4," $24,000.00 ", Hiatus ,
Langara College,07-09-2021,Arts Diploma,2," $8,674.00 ",,
University of the Fraser Valley,01-09-2019,Qualifying Studies,1," $8,005.00 ", Attending ,
Camosun College,06-09-2016,University Transfer,2,, Attending ,
Douglas College,01-05-2019,Academic Foundations,1," $6,000.00 ", Attending ,
Langara College,2022-01-0,Medical Office Assistant,1," $1,551.00 ", Hiatus ,
